Buenos Aires|C1000
Palermo, Buenos Aires|C1414
Recoleta, Buenos Aires|C1113
Belgrano, Buenos Aires|C1426
Núñez, Buenos Aires|C1429
Caballito, Buenos Aires|C1406
Flores, Buenos Aires|C1406
Villa Crespo, Buenos Aires|C1414
Almagro, Buenos Aires|C1172
Balvanera, Buenos Aires|C1185
San Telmo, Buenos Aires|C1100
La Boca, Buenos Aires|C1155
Puerto Madero, Buenos Aires|C1107
Retiro, Buenos Aires|C1002
Monserrat, Buenos Aires|C1070
San Nicolás, Buenos Aires|C1041
Barracas, Buenos Aires|C1280
Parque Patricios, Buenos Aires|C1437
Villa Urquiza, Buenos Aires|C1431
Villa Devoto, Buenos Aires|C1417
Villa Pueyrredón, Buenos Aires|C1419
Colegiales, Buenos Aires|C1414
Agronomía, Buenos Aires|C1427
Liniers, Buenos Aires|C1408
Mataderos, Buenos Aires|C1440
Flores, Buenos Aires|C1406
Floresta, Buenos Aires|C1406
Vélez Sársfield, Buenos Aires|C1407
Versalles, Buenos Aires|C1408
Villa Luro, Buenos Aires|C1408
Villa Santa Rita, Buenos Aires|C1408
Parque Avellaneda, Buenos Aires|C1440
Villa Soldati, Buenos Aires|C1437
Nueva Pompeya, Buenos Aires|C1437
Boedo, Buenos Aires|C1239
Constitución, Buenos Aires|C1228
San Cristóbal, Buenos Aires|C1255
Parque Chacabuco, Buenos Aires|C1255
Parque Chas, Buenos Aires|C1427
Chacarita, Buenos Aires|C1427
Paternal, Buenos Aires|C1414
Villa del Parque, Buenos Aires|C1417
Villa General Mitre, Buenos Aires|C1417
Monte Castro, Buenos Aires|C1419
Saavedra, Buenos Aires|C1430
Coghlan, Buenos Aires|C1430
La Paternal, Buenos Aires|C1414
Villa Ortúzar, Buenos Aires|C1414
Córdoba|X5000
Nueva Córdoba, Córdoba|X5000
Centro, Córdoba|X5000
Alta Córdoba, Córdoba|X5003
Villa El Libertador, Córdoba|X5008
Villa Allende, Córdoba|X5105
Carlos Paz, Córdoba|X5152
Jesús María, Córdoba|X5220
Río Cuarto, Córdoba|X5800
Villa María, Córdoba|X5900
San Francisco, Córdoba|X2400
Bell Ville, Córdoba|X2550
Rosario|S2000
Centro, Rosario|S2000
Fisherton, Rosario|S2004
Echesortu, Rosario|S2002
Pichincha, Rosario|S2007
Alberdi, Rosario|S2006
República de la Sexta, Rosario|S2000
Abasto, Rosario|S2000
Arroyito, Rosario|S2200
Belgrano, Rosario|S2003
Remedios de Escalada, Rosario|S2008
Santa Fe|S3000
Santo Tomé, Santa Fe|S3016
Esperanza, Santa Fe|S3080
Rafaela, Santa Fe|S2300
Reconquista, Santa Fe|S3560
Venado Tuerto, Santa Fe|S2600
Mendoza|M5500
Ciudad, Mendoza|M5500
Godoy Cruz, Mendoza|M5501
Guaymallén, Mendoza|M5521
Las Heras, Mendoza|M5539
Maipú, Mendoza|M5515
Luján de Cuyo, Mendoza|M5507
